Title,Authors,Abstract,Published Year,Published Month,Journal,Volume,Issue,Pages,Accession Number,DOI,Ref,Covidence #,Study,Notes,Tags
MuLan: Multilevel Language-based Representation Learning for Disease Progression Modeling,"Sohn, H.; Park, K.; Chi, M.; Wu, X.; Jermaine, C.; Xiong, L.; Hu, X. T.; Kotevska, O.; Lu, S.; Xu, W.; Aluru, S.; Zhai, C.; Al-Masri, E.; Chen, Z.; Saltz, J.; Ankura, T. M.; Ibm,; Ieee,; Ieee Computer Society","Modeling patient disease progression using Electronic Health Records (EHRs) is crucial to assist clinical decision making. In recent years, deep learning models such as Long Short-Term Memory (LSTM) and Convolutional Neural Network (CNN) have shown great success in handling sequential multivariate data, such as EHRs. Despite their great success, it is often difficult to interpret and visualize patient disease progression learned from these models in a meaningful yet unified way. In this work, we present MuLan: a Multilevel Language-based representation learning framework that can automatically learn a hierarchical representation for EHRs at entry, event, and visit levels. We validate MuLan on modeling the progression of an extremely challenging disease, septic shock, by using real-world EHRs. Our results showed that these unified multilevel representations can be utilized not only for interpreting and visualizing the latent mechanism of patients' septic shock progressions but also for early detection of septic shock. © 2020 IEEE.",2020,,"8th IEEE International Conference on Big Data, Big Data 2020",,,1246-1255,,10.1109/BigData50022.2020.9377829,,#5905,Sohn 2020,Exclusion reason: Not sepsis ; Finneas Catling (2022-04-27 02:32:14)(Included): Their realtime predictions of septic shock actually just predict shock (see 'Labeling' para under IV. Experiment) so suggest exclude ; Finneas Catling (2022-04-27 00:23:38)(Included): FC to co-extract; ,""
Improving sepsis resuscitation with reinforcement learning,"Komorowski, M.","Sepsis is the third leading cause of death worldwide and the main cause of mortality in hospitals1, but the best treatment strategy remains uncertain. In particular, evidence suggests that current practices in the administration of intravenous fluids and vasopressors are suboptimal and likely induce harm in a proportion of patients1,2. To tackle this sequential decision-making problem, I used reinforcement learning, a class of machine learning algorithms whose goal is to estimate an optimal set of rules that maximises some form of reward.3 Similarly, a clinician's goal is to make therapeutic decisions in order to maximize a patient's probability of a good outcome. An artificial intelligence (AI) agent was built and validated on two large non-overlapping ICU databases, containing data routinely collected from adult patients in the U.S.A. The Medical Information Mart for Intensive Care version III (MIMIC-III) was used for model development and the eICU Research Institute Database (eRI) for model testing. All patients included fulfilled the sepsis-3 criteria. The final datasets contain 17,083 admissions from MIMIC-III from 5 separate ICUs in one hospital and 79,073 admissions from 128 different hospitals from eRI. I extracted up to 72 hours of data per patient, in the form of time series of 48 variables, including demographics, Elixhauser premorbid status, vital signs, laboratory values, fluids and vasopressors received. A Markov decision process (MDP) was used to model the patient environment and trajectories. 3 The various elements of the model were defined using patient data time series from the training set (Figure 1). I deployed the AI agent to solve the MDP and predict outcomes of treatment strategies. First, I evaluated the actual treatments of clinicians, by analysing all the prescriptions and computing the average return of each treatment option, which can take values from-100 to +100 in my model. Then, the MDP was solved using an algorithm called policy iteration, which identified the treatments that maximised return, that is, the expected 90-day survival of patients. 3 This process generated a new treatment strategy (termed ""a policy"" in reinforcement learning) for sepsis optimizing 90-day mortality, which could be applied in real-time at the patient level. Figure 1: Data flow of the AI agent. Eighty percent of the MIMIC-III dataset was used to define the elements of the Markov decision process. Time series of patient data were clustered into finite states. The dose of intravenous fluids and vasopressors were discretized into 25 possible actions. Patients' survival at 90 days after ICU admission defined rewards. Reinforcement learning was used to estimate optimal treatment strategies. The remaining 20% MIMIC-III data was used to identify the best model among 500 candidates, which was then tested on an independent dataset from the eRI database. It was crucial to obtain reliable estimates of the performance of this new policy without deploying it, since executing a bad policy would be dangerous for patients3,4. In reinforcement learning, evaluating the performance of a new policy using trajectories generated by another policy (the clinicians' policy) is termed off-policy evaluation3,4. I implemented a type of off-policy evaluation called weighted importance sampling, and used bootstrapping to estimate the true distribution of the value of the AI policy.4 500 candidate models were built, and I selected the one maximising the theoretical statistical safety of the new AI policy. Then, the chosen AI policy was tested on the independent eRI dataset. Figure 2a shows the distribution of the estimated value of the clinicians' policy and the AI policy in the selected final model tested on the eRI cohort. The median value of the AI policy, at 84.5 (interquartile range 84.3-87.7), was reliably higher than that of clinicians' (median 56.9, interquartile range 54.7-58.8). Figures 2b and 2c show the distribution of treatment doses according to clinicians' and AI policies. On average, the AI agent recommended lower doses of intravenous fluids and higher doses of vasopressors, compared to clinicians' actual treatments. While the proportion of time the eRI patients received vasopressors was only 17%, that would have been 30% if following the AI agent. I analysed patient mortality when the dose actually administered corresponded to or differed from the dose suggested by the AI agent. The patients who received doses similar to the doses recommended by the AI agent had the lowest mortality. Giving more or less than the AI policy of either treatment was associated with increasing mortality rates, in a dose-dependent fashion (Figures 2d and 2e). When the actual dose given was different from the suggested dose, clinicians gave more or less fluids in similar proportions, and less vasopressors 75% of the time. The median dose deficit in patients who received too little vasopressors was 0.13 mug/kg/min (interquartile range 0.04-0.27 mug/kg/min). Figure 2. Comparison of clinicians and AI policies in eRI (a, b, c); Average dose excess received per patient of both drugs in eRI and corresponding mortality (d, e). a. distribution of the estimated value of the clinicians' and the AI policy in the selected model. b and c, Visualization of the clinicians' and AI policies. All actions were aggregated over all time steps for the 5 dose bins of both medications. On average, patients were administered more intravenous fluid (b) and less vasopressor (c) medications than recommended by the AI policy. Vasopressor dose is in mug/kg/min of norepinephrine equivalent and intravenous fluids dose is in mL/4 hours. d and e, The dose excess refers to the difference between the given and suggested dose averaged over all time points per patient. The shaded area represents the standard error of the mean. In both plots, the smallest dose difference was associated with the best survival rates (vertical dotted line). The further away the dose received was from the suggested dose, the worse the outcome. In this research, I demonstrated how reinforcement learning could be applied to solve a complex medical problem, and suggest individualized treatment strategies for sepsis. When clinicians' actual treatments varied from the AI agent's suggested policy, this was most commonly to administer too little vasopressor. Early use of lowdose vasopressor has been suggested in sepsis2,5. This may avoid administering excessive amounts of fluids, which has been linked with poorer outcome2,5. My results support this strategy but importantly allow the treatment to be individualized for each patient. My vision is that this system will be used in real-time, using data streams in electronic health records to suggest a course of action. Physicians will always need to make subjective clinical judgments about treatment strategies, but computational models can provide additional insight about optimal decisions, avoiding targeting short-term resuscitation goals and instead following trajectories towards longer-term survival. There are limitations to this study. Although the datasets are large and used routinely collected clinical data, some sites and patients had to be excluded due to poor quality data recording or missing data. Due to differences between the two datasets, slightly different implementations of the sepsis-3 criteria were used, and hospital mortality was used in eRI instead of 90-day mortality. Finally, some laboratory values would not have been immediately available to clinicians to inform decision making but were available to the AI agent. This work will clearly require prospective evaluation using real-time data and in clinical trials, but if only a few percent reduction in mortality from sepsis could be achieved, this would represent several tens of thousands of lives saved annually, worldwide. In the last 10 to 15 years, attempts to develop novel treatments to reduce sepsis mortality have uniformly been unsuccessful2,5. The use of computer decision support systems to better guide treatments and improve outcomes is therefore a much-needed approach. Acknowledgements: I am grateful to my PhD supervisors, Professor Anthony C. Gordon and Doctor A. Aldo Faisal, as well as to Leo Celi from the Massachusetts Institute of Technology and Harvard University and to Omar Badawi from Philips Healthcare for their support in this project. (Figure Preseted) .",2019,,Journal of the Intensive Care Society,20,2 Supplement,250-252,,http://dx.doi.org/10.1177/1751143719835452,,#3128,Komorowski 2019,Exclusion reason: Poster / oral presentation; ,""
Assessing the Predictive Value of Clinical Factors Used to Determine the Presence of Sepsis Causing Shock in the Emergency Department,"Carey, Jeremy R.; Oedorf, Kimie; Day, Danielle E.; Redfield, Colby S.; Huguenel, Colin J.; Roberts, Jonathan C.; Sanchez, Leon D.; Wolfe, Richard E.; Henning, Daniel J.; Shapiro, Nathan I.; Novack, Victor","Introduction: Differentiating shock etiologies is a challenging task in the Emergency Department (ED); even the strongest clinical predictors leave some diagnostic uncertainty. This study sought to establish an evidence base for using clinical covariates in the diagnostic evaluation of septic shock. Method(s): We conducted a prospective, observational study of consecutive ED patients with shock from November 11, 2012 to September 23, 2013. We included all patients at least 18 years old with shock, defined as new vasopressor requirement, systolic blood pressure less than 90 mmHg after at least 1 L of crystalloid or 2 units packed red blood cells, or systolic blood pressure less than 90 mmHg and fluids withheld due to concern for fluid overload. Multivariate logistic regression and recursive partitioning models were constructed, predicting septic cause of shock. The logistic regression model was derived using first 500 patients, and validated with the subsequent 200 patients. Result(s): In the derivation cohort, 55.6% (95% confidence interval: 51.2%-60.0%) were septic, and 20.8% (17.2%-24.4%) died during hospitalization. The multivariate model (derivation area under the curve = 0.88, validation area under the curve = 0.89) identified predictors of septic shock, including temperature more than 100.4degreeF (odds ratio 4.6, 2.3-9.2) and history of fever (odds ratio 9.2, 4.4-19.2); however, only 153 of 277 (55.3%, 49.5%-61.2%) patients with septic shock had either of these findings. In the recursive partitioning model, if all predictors were absent, the probability of sepsis causing shock was 21% (16.6%-25.6%). Conclusion(s): Clinical data can predict the presence of sepsis causing shock in the ED in most patients. The remaining diagnostic uncertainty provides an opportunity for adding novel diagnostic testing.Copyright © 2016 by the Shock Society.",2016,,Shock,46,1,27-32,,http://dx.doi.org/10.1097/SHK.0000000000000558,,#2216,Carey 2016,"Exclusion reason: Predicts incorrect outcome; Finneas Catling (2022-03-05 04:40:29)(Select): I've just moved this back to full-text review. It predicts sepsis in patients who are shocked, not the other way around, so couldn't conceivably be used to guide treatment in septic patients; ",""
Automated pressure regulation system for sepsis (auto-press): Reinforcement learning agent learns to provide vasopressor and intravenous fluid recommendations to manage hypotensive episodes in septic patients,"Jeter, Russell; Nemati, Shamim; Josef, Christopher; Lehman, Li-Wei","Background: Sepsis is a syndromic, life-threatening condition that arises when the body's response to infection injures its own tissues. The Surviving Sepsis Campaign has promulgated a set of recommended first hour actions; however, the preferred proportion of intravenous (IV) fluids and vasopressors used to treat hypotension can vary according to patient comorbidities, a clinician's area of expertise, and institutional policies. This variability in treatment patterns and the high number of changes that can occur throughout a treatment course has made it nearly impossible to retrospectively appreciate the ideal balance of vasoactive drugs and IV fluids. Method(s): A cohort of 5,366 hypotensive patients with sepsis that received vasopressor therapy was obtained from the MIMIC III dataset. Patient vitals, comorbidities, and IV fluid/vasopressor doses were then binned into one-hour intervals. Using these patient states and clinical actions, an artificial intelligence (AI) treatment recommendation system is trained using the REINFORCE algorithm, a machine learning algorithm that learns by observing clinical practices to generate a treatment policy. The recommendation system, AUTO-PRESS, is rewarded/penalized by a combination of factors that include improvements in MAP, SOFA score components, and mortality. A propensity score based causal treatment effects analysis is done to evaluate the utility of the AI recommendations on the retrospective data. Result(s): AUTO-PRESS learns to make recommendations that are similar to actual clinician recommendations. On average, AUTOPRESS tends to recommend fluid resuscitation faster than the real clinicians in the cohort and recommends on average that vasopressors be administered in small doses and at a later point in a patient's clinical course. A causal treatment effects analysis shows that if AUTO-PRESS's recommendation was followed for the retrospective cohort, survival rates could improve by as much as 10 - 15 %. Conclusion(s): Retrospective data from hypotensive sepsis patients can be used to create a machine learning algorithm that learns to analyze the patient state and make vasopressor and IV fluid recommendations to clinicians. After accounting for severity of illness and potential effects of treatment, recommendations from the AI system present a 10 - 15% increase in survival rates among the patient cohort. As a clinician-inthe- loop system, this presents a step forward in the standardization and individualization of blood pressure management in septic patients.",2019,,Shock,51,6 Supplement 1,45,,http://dx.doi.org/10.1097/SHK.0000000000001374,,#3105,Jeter 2019,Exclusion reason: Poster / oral presentation; Finneas Catling (2022-03-27 21:52:01)(Select): Agree - I have moved back to FT screening and voted to exclude; Zuzanna Bien (2021-12-02 03:20:20)(Select): no access to supplement but looks like it's just an abstract; ,""
Knowledge-based approach to septic shock patient data using a neural network with trapezoidal activation functions,"Paetz, Jürgen","In this contribution we present an application of a knowledge-based neural network technique in the domain of medical research. We consider the crucial problem of intensive care patients developing a septic shock during their stay at the intensive care unit. Septic shock is of prime importance in intensive care medicine due to its high mortality rate. Our analysis of the patient data is embedded in a medical data analysis cycle, including preprocessing, classification, rule generation and interpretation. For classification and rule generation we chose an improved architecture based on a growing trapezoidal basis function network for our metric variables. Our results extend those of a black box classification and give a deeper insight in our patient data. We evaluate our results with classification and rule performance measures. For feature selection we introduce a new importance measure.",2003,,Artif. Intell. Med.,28,2,207–230-207–230,,,,#6148,Paetz 2003,Exclusion reason: Predicts incorrect outcome; Finneas Catling (2022-02-19 05:26:13)(Select): Predicts mortality in septic shock; ,""
Characteristics of Heart Rate Variability Can Predict Impending Septic Shock in Emergency Department Patients with Sepsis,"Chen, Wei-Lung; Kuo, Cheng-Deng","Objectives: To determine whether heart rate variability (HRV) measures can be used to predict which septic patients in the emergency department (ED) will progress to septic shock. Method(s): The authors prospectively enrolled consecutive patients who met the 2001 International Sepsis Definitions Conference criteria of sepsis and visited the ED of a university teaching hospital over a six-month period. In addition to the septic workup, a continuous 10-minute electrocardiogram recording was performed at the same time. The HRV measures were calculated off-line and correlated with the outcome of the patients. Result(s): Eighty-one patients aged 30-84 years who met the inclusion criteria were enrolled. The patients were classified as those with no septic shock (n = 60) and those with septic shock (n = 21), according to their outcome within six hours. The baseline root mean square successive difference, high-frequency power, and normalized high-frequency power of the septic shock group were significantly higher than those of the no septic shock group. The low-frequency power, normalized low-frequency power, and low-/high-frequency power ratio of the septic shock group were significantly lower than those of the no septic shock group. Multiple logistic regression analysis identified root mean square successive difference as the best predictor of impending septic shock for septic ED patients. Conclusion(s): HRV measures may be used to identify septic ED patients with impending septic shock. Among those HRV measures, root mean square successive difference seems to be the best indicator to predict the occurrence of septic shock. © 2007 Society for Academic Emergency Medicine.",2007,,Academic Emergency Medicine,14,5,392-397,,http://dx.doi.org/10.1197/j.aem.2006.12.015,,#1151,Chen 2007,Exclusion reason: No learnt component; Finneas Catling (2022-03-05 04:21:32)(Select): I just moved this back to full text screening. The HRV features are all deterministically derived (no learnt component). The logistic regression model is just used to infer which HRV features are independently associated with septic shock - the model isn't used for downstream septic shock prediction; ,""
A Deep Learning-Based Sepsis Estimation Scheme,"Al-Mualemi, B. Y.; Lu, L.","The objective of this research is to design and implement a machine learning (ML) based technique that can predict cases of septic shock and extreme sepsis and assess its effects on medical practice and the patients. The study is a retrospective cohort type, which is used to algorithmic deduction and validation, along with pre- and post-impact assessment. For non-ICU cases, the algorithm was deduced and validated for specific periods. The classifiers used for the study have been deduced and validated by employing electronic health records (EHR), which were silent initially but alerted the clinical personnel concerning the sepsis prediction. For training the classification system, the chosen patients should have had ICD and the latest codes concerning extreme sepsis or septic shock. Moreover, the patients should have had positive blood culture during their interaction with the hospital, where there were indications of either systolic blood pressure (SBP) or lactate levels. The classification algorithms demonstrated a 93.84%, 93.22%, 95.25% accuracy, sensitivity and specificity respectively. The pattern used for clinical detection, in the context of the alerting system, led to a small but statistically significant increase in IV usage and lab tests. The values used for the alerting system were found to have no statistically significant difference in the context of different ICU wards since data from the laboratory tests serve as the primary early indicator of septic shock by confirming the presence of toxins. © 2013 IEEE.",2021,,IEEE Access,9,,5442-5452,,10.1109/ACCESS.2020.3043732,,#5934,Al-Mualemi 2021,"Exclusion reason:  Predicts sepsis / severe sepsis; Finneas Catling (2022-03-05 03:57:26)(Select): I just moved this paper back from extraction into full text screening. It is difficult to follow and a bit bizarre - whilst it equivocates between sepsis / severe sepsis / septic shock / 'extreme' sepsis in the text, I can only see that it defines labels for sepsis and and predicts sepsis. Suggest exclude ; Myura Nagendran (2022-01-18 01:37:03)(Select): vague on how septic shock defined but says combo of sirs and lots criteria. probably includable; ",""
Predicting the Need For Vasopressors in the Intensive Care Unit Using an Attention Based Deep Learning Model,"Kwak, Gloria Hyunjung; Ling, Lowell; Hui, Pan","BACKGROUND: Previous models on prediction of shock mostly focused on septic shock and often required laboratory results in their models. The purpose of this study was to use deep learning approaches to predict vasopressor requirement for critically ill patients within 24 h of intensive care unit (ICU) admission using only vital signs. METHOD(S): We used data from the Medical Information Mart for Intensive Care III database and the eICU Collaborative Research Database to develop a vasopressor prediction model. We performed systematic data preprocessing using matching of cohorts, oversampling, and imputation to control for bias, class imbalance, and missing data. Bidirectional long short-term memory (Bi-LSTM), a multivariate time series model, was used to predict the need for vasopressor therapy using serial physiological data collected 21 h prior to prediction time. RESULT(S): Using data from 10,941 critically ill patients from 209 ICUs, our model achieved an initial area under the curve of 0.96 (95% CI 0.96-0.96) to predict the need for vasopressor therapy in 2 h within the first day of ICU admission. After matching to control class imbalance, the Bi-LSTM model had area under the curve of 0.83 (95% CI 0.82-0.83). Heart rate, respiratory rate, and mean arterial pressure contributed most to the model. CONCLUSION(S): We used Bi-LSTM to develop a model to predict the need for vasopressor for critically ill patients for the first 24 h of ICU admission. With attention mechanism, respiratory rate, mean arterial pressure, and heart rate were identified as key sequential determinants of vasopressor requirements.Copyright © 2020 by the Shock Society.",2021,,"Shock (Augusta, Ga.)",56,1,73-79,,http://dx.doi.org/10.1097/SHK.0000000000001692,,#3788,Kwak 2021,Exclusion reason: Not sepsis ; ,""
"Early Prediction of Mortality, Severity, and Length of Stay in the Intensive Care Unit of Sepsis Patients Based on Sepsis 3.0 by Machine Learning Models","Su, Longxiang; Liu, Shengjun; Wang, Hao; Li, Dongkai; Chen, Huan; Zhou, Xiang; Long, Yun; Xu, Zheng; Chang, Fengxiang; Ma, Yingying; Hong, Na; Jiang, Huizhen; Zhu, Weiguo","Background: Early prediction of the clinical outcome of patients with sepsis is of great significance and can guide treatment and reduce the mortality of patients. However, it is clinically difficult for clinicians. Method(s): A total of 2,224 patients with sepsis were involved over a 3-year period (2016-2018) in the intensive care unit (ICU) of Peking Union Medical College Hospital. With all the key medical data from the first 6 h in the ICU, three machine learning models, logistic regression, random forest, and XGBoost, were used to predict mortality, severity (sepsis/septic shock), and length of ICU stay (LOS) (>6 days, <= 6 days). Missing data imputation and oversampling were completed on the dataset before introduction into the models. Result(s): Compared to the mortality and LOS predictions, the severity prediction achieved the best classification results, based on the area under the operating receiver characteristics (AUC), with the random forest classifier (sensitivity = 0.65, specificity = 0.73, F1 score = 0.72, AUC = 0.79). The random forest model also showed the best overall performance (mortality prediction: sensitivity = 0.50, specificity = 0.84, F1 score = 0.66, AUC = 0.74; LOS prediction: sensitivity = 0.79, specificity = 0.66, F1 score = 0.69, AUC = 0.76) among the three models. The predictive ability of the SOFA score itself was inferior to that of the above three models. Conclusion(s): Using the random forest classifier in the first 6 h of ICU admission can provide a comprehensive early warning of sepsis, which will contribute to the formulation and management of clinical decisions and the allocation and management of resources.© Copyright © 2021 Su, Xu, Chang, Ma, Liu, Jiang, Wang, Li, Chen, Zhou, Hong, Zhu and Long.",2021,,Frontiers in Medicine,8,,664966,,http://dx.doi.org/10.3389/fmed.2021.664966,,#3878,Su 2021,Exclusion reason:  Predicts sepsis / severe sepsis; Finneas Catling (2022-04-27 00:27:26)(Included): MK: suggest exclude as predicts severity as mixed bag of sepsis / SS / other stuff; ,""
Postoperative sepsis prediction in patients undergoing major cancer surgery,"Sood, A.; Abdollah, F.; Sammon, J. D.; Arora, N.; Weeks, M.; Peabody, J. O.; Menon, M.; Trinh, Q. D.","Background Cancer patients are at increased risk for postoperative sepsis. However, studies addressing the issue are lacking. We sought to identify preoperative and intraoperative predictors of 30-d sepsis after major cancer surgery (MCS) and derive a postoperative sepsis risk stratification tool. Methods Patients undergoing one of nine MCSs (gastrointestinal, urological, gynecologic, or pulmonary) were identified within the American College of Surgeons National Surgical Quality Improvement Program (2005-2011, n = 69,169). Multivariable adjusted analyses (MVA) were performed to identify the predictors of postoperative sepsis. A composite sepsis risk score (CSRS) was constructed using the regression coefficients of predictors significant on MVA. The score was stratified into low, intermediate, and high risk, and its predictive accuracy for sepsis, septic shock, and mortality was assessed using the area under the curve analysis. Results Overall, 4.3% (n = 2954) of patients developed postoperative sepsis. In MVA, Black race (odds ratio [OR] = 1.30, P = 0.002), preoperative hematocrit <30 (OR = 1.40, P = 0.022), cardiopulmonary and cerebrovascular comorbidities (P < 0.010), American Society of Anesthesiologists score >3 (P < 0.05), operative time (OR = 1.002, P < 0.001), surgical approach (OR = 1.81, P < 0.001), and procedure type (P < 0.001) were significant predictors of postoperative sepsis. CSRS demonstrated favorable accuracy in predicting postoperative sepsis, septic shock, and mortality (area under the curve 0.72, 0.75, and 0.74, respectively). Furthermore, CSRS risk stratification demonstrated high concordance with sepsis rates, 1.3% in low-risk patients versus 9.7% in high-risk patients. Similarly, 30-d mortality rate varied from 0.5% to 5.5% (10-fold difference) in low-risk patients versus high-risk patients. Conclusions Our study identifies the major risk factors for 30-d sepsis after MCS. These risk factors have been converted into a simple, accurate bedside sepsis risk score. This tool might facilitate improved patient–physician interaction regarding the risk of postoperative sepsis and septic shock. © 2016 Elsevier Inc.",2017,,Journal of Surgical Research,209,,60-69,,10.1016/j.jss.2016.09.059,,#5543,Sood 2017,Exclusion reason: Not for realtime use; Zuzanna Bien (2022-04-26 23:56:35)(Select): not for realtime use - predicts sepsis within 30 days of op. I voted exclude. ; ,""
