Title,Authors,Abstract,Published Year,Published Month,Journal,Volume,Issue,Pages,Accession Number,DOI,Ref,Covidence #,Study,Notes,Tags
"Multicenter validation of a sepsis prediction algorithm using only vital sign data in the emergency department, general ward and ICU","Mao, Q.; Jay, M.; Hoffman, J.; Calvert, J.; Barton, C.; Shimabukuro, D.; Shieh, L.; Chettipally, U.; Fletcher, G.; Kerem, Y.; Zhou, Y.; Das, R.","ObjectivesWe validate a machine learning-based sepsis prediction algorithm (InSight) for detection and prediction of three sepsis-related gold standards, using only six vital signs. We evaluate robustness to missing data, customization to site-specific data using transfer learning, and generalizability to new settings.\n\nDesignA machine learning algorithm with gradient tree boosting. Features for prediction were created from combinations of only six vital sign measurements and their changes over time.\n\nSettingA mixed-ward retrospective data set from the University of California, San Francisco (UCSF) Medical Center (San Francisco, CA) as the primary source, an intensive care unit data set from the Beth Israel Deaconess Medical Center (Boston, MA) as a transfer learning source, and four additional institutions datasets to evaluate generalizability.\n\nParticipants684,443 total encounters, with 90,353 encounters from June 2011 to March 2016 at UCSF.\n\nInterventionsnone\n\nPrimary and secondary outcome measuresArea under the receiver operating characteristic curve (AUROC) for detection and prediction of sepsis, severe sepsis, and septic shock.\n\nResultsFor detection of sepsis and severe sepsis, InSight achieves an area under the receiver operating characteristic (AUROC) curve of 0.92 (95% CI 0.90 - 0.93) and 0.87 (95% CI 0.86 - 0.88), respectively. Four hours before onset, InSight predicts septic shock with an AUROC of 0.96 (95% CI 0.94 -0.98), and severe sepsis with an AUROC of 0.85 (95% CI 0.79 - 0.91).\n\nConclusionsInSight outperforms existing sepsis scoring systems in identifying and predicting sepsis, severe sepsis, and septic shock. This is the first sepsis screening system to exceed an AUROC of 0.90 using only vital sign inputs. InSight is robust to missing data, can be customized to novel hospital data using a small fraction of site data, and retained strong discrimination across all institutions.\n\nStrengths and limitations of this studyO_LIMachine learning is applied to the detection and prediction of three separate sepsis standards in the emergency department, general ward and intensive care settings.\nC_LIO_LIOnly six commonly measured vital signs are used as input for the algorithm.\nC_LIO_LIThe algorithm is robust to randomly missing data.\nC_LIO_LITransfer learning successfully leverages large dataset information to a target dataset.\nC_LIO_LIRetrospective nature of the study does not predict clinician reaction to information.\nC_LI",2018,,,,,,,,,#133,Mao 2018,"",""
Prediction of Septic Shock Onset in ICU by Instantaneous Monitoring of Vital Signs,"Mollura, M.; Romano, S.; Mantoan, G.; Lehman, L. W.; Barbieri, R.","Septic Shock is a critical pathological state that affects patients entering the intensive care unit (ICU). Many studies have been directed to characterize and predict the onset of the septic shock, both in ICU and in the Emergency Department employing data extracted from the Electronic Health Records. Recently, machine learning algorithms have been successfully employed to help characterize septic shock in a more objective and automatic fashion. Only a few of these studies employ information contained in the continuously recorded vital signs such as electrocardiogram and arterial blood pressure. In particular, we have devised a novel feature estimation procedure able to consider instantaneous dynamics related to cardiovascular control. This work aims at developing a short-term prediction algorithm for identifying patients experiencing septic shock among a population of 100 septic patients extracted from the MIMIC-III clinical and waveform database. Among all the results obtained from several trained machine learning models, the best performance reached an AUC on the test set equal to 0.93 (Accuracy=0.85, Sensitivity=0.89 and Specificity=0.82). © 2020 IEEE.",2020,,"42nd Annual International Conferences of the IEEE Engineering in Medicine and Biology Society, EMBC 2020",2020-July,,2768-2771,,10.1109/EMBC44109.2020.9176276,,#5884,Mollura 2020,"",""
Deep Inverse Reinforcement Learning for Sepsis Treatment,"Yu, Chao; Ren, Guoqi; Liu, Jiming","Sepsis is a leading cause of mortality in hospitals, but its optimal treatment strategy still remains unclear. Recent years have witnessed several successful applications of Reinforcement Learning (RL) approaches in sepsis treatment, achieving far more efficient strategies than those by clinicians. To ensure such applications, an explicit reward function encoding medical domain knowledge should be specified beforehand to indicate the goal of learning. However, due to the paucity of clear understanding of sepsis itself, there is still considerable inconsistency in the formulation of reward functions for sepsis treatment. In this poster, we address the reward learning problem in RL for treatment of sepsis, which has been largely neglected by previous studies. A deep inverse RL with Mini-Tree (DIRL-MT) model is proposed to infer the best reward functions from a set of presumably optimal treatment trajectories using retrospective real medical data. In the model, the MT component learns the factors that are most important in influencing the mortality during sepsis treatment, while the DIRL component infers the complete reward function in terms of weights of those factors. Our work shows that PaO2 and PT can play a vital role and should be paid more attention in the design of more efficient treatment strategies for sepsis in the future.",2019,2019/june,2019 IEEE International Conference on Healthcare Informatics (ICHI),,,1–3-1–3,,,,#6165,Yu 2019,"",""
Optimal sepsis patient treatment using human-in-the-loop artificial intelligence,"Gupta, A.; Lash, M. T.; Nachimuthu, S. K.","Sepsis is one of the leading causes of death in Intensive Care Units (ICU). The strategy for treating sepsis involves the infusion of intravenous (IV) fluids and administration of antibiotics. Determining the optimal quantity of IV fluids is a challenging problem due to the complexity of a patient's physiology. In this study, we develop a data-driven optimization solution that derives the optimal quantity of IV fluids for individual patients. The proposed method minimizes the probability of severe outcomes by controlling the prescribed quantity of IV fluids and utilizes human-in-the-loop artificial intelligence. We demonstrate the performance of our model on 1122 ICU patients with sepsis diagnosis extracted from the MIMIC-III dataset. The results show that, on average, our model can reduce mortality by 22%. This study has the potential to help physicians synthesize optimal, patient-specific treatment strategies. © 2020 The Author(s)",2021,,Expert Systems with Applications,169,,,,10.1016/j.eswa.2020.114476,,#5967,Gupta 2021,"Finneas Catling (2022-03-26 02:34:20)(Select): Moved back to FT screening because it is a duplicate of another full text we have already extracted. But, I can't mark it as a duplicate because it is 'a primary reference for other duplicates'. I think this means we will have to re-Include this reference, transfer over the extracted data to it, then mark the other one as a duplicate. I have voted to reinclude; Zuzanna Bien (2022-02-02 03:47:27)(Select): amended link; Myura Nagendran (2022-01-18 02:50:57)(Select): url reference is wrong but google search shows correct full text; ",""
Multimodal Early Septic Shock Prediction Model using Lasso Regression with Decaying Response,"Hammoud, I.; Ramakrishnan, I. V.; Henry, M.; Morley, E.","Sepsis is one of the leading causes of in-hospital deaths. In this paper, we propose a multimodal early prediction system for septic shock, which is a serious complication for patients with sepsis. Our system utilizes patients vital and laboratory time series data in combination with medical notes to predict patients at risk of septic shock in real-Time. Our model achieves 0.89 ROC AUC and a median detection time of 30.64 hours before the onset of the septic shock event at a specificity of 0.67. Our proposed method uses lasso regression with modified response decay to model the risk as we go further away in time from the septic shock event. We compare the performance of our model to baseline and state-of-The-Art models used to predict early deterioration and septic shock in ICU patients. Our model shows improvement in both ROC AUC and median detection time at all specificities. This translates into an earlier prediction time at a higher true positive rate for the same false positive rate. Moreover, we investigate the ROC AUC and median detection time trade-off and propose an automated way for model selection under such trade-off. We also demonstrate how the model selection step could also be modified to optimize for a predefined user utility. © 2020 IEEE.",2020,,"8th IEEE International Conference on Healthcare Informatics, ICHI 2020",,,,,10.1109/ICHI48887.2020.9374377,,#5834,Hammoud 2020,"",""
Septic Shock Prediction for Patients with Missing Data,"Ho, Joyce C.; Lee, Cheng H.; Ghosh, Joydeep","Sepsis and septic shock are common and potentially fatal conditions that often occur in intensive care unit (ICU) patients. Early prediction of patients at risk for septic shock is therefore crucial to minimizing the effects of these complications. Potential indications for septic shock risk span a wide range of measurements, including physiological data gathered at different temporal resolutions and gene expression levels, leading to a nontrivial prediction problem. Previous works on septic shock prediction have used small, carefully curated datasets or clinical measurements that may not be available for many ICU patients. The recent availability of a large, rich ICU dataset called MIMIC-II has provided the opportunity for more extensive modeling of this problem. However, such a large clinical dataset inevitably contains a substantial amount of missing data. We investigate how different imputation selection criteria and methods can overcome the missing data problem. Our results show that imputation methods in conjunction with predictive modeling can lead to accurate septic shock prediction, even if the features are restricted primarily to noninvasive measurements. Our models provide a generalized approach for predicting septic shock in any ICU patient.",2014,,ACM Trans. Manage. Inf. Syst.,5,1,1–15-1–15,,,,#6139,Ho 2014,"",""
Clustering Blood Pressure Trajectories in Septic Shock in the Emergency Department,"Prasad, Varesh; Lynch, James C.; Filbin, Michael R.; Reisner, Andrew T.; Heldt, Thomas","Hemodynamic management of sepsis in the emergency department relies on fluid resuscitation and vasoactive therapy to maintain adequate blood pressure and end-organ perfusion. While typical practice targets certain thresholds of blood pressure (such as 65 mmHg mean arterial or 90 mmHg systolic blood pressure [SBP]), little consideration is given to temporal dynamics of blood pressure. In this work, we use unsupervised learning methods to reveal characteristic SBP trajectories in the two hours either surrounding the start of hypotensive episodes (SBP <; 90 mmHg) or immediately preceding the initiation of vasopressor therapy. Our results show that hypotensive episodes tended to either resolve very quickly (within 40 minutes) or extend for prolonged periods (at least 1 hour). Those with prolonged hypotension constituted 74% of all patients with at least one measurement of SBP <; 90 mmHg. Of them, patients who entered hypotension by a large, acute drop from a normal SBP over the preceding hour had a greater incidence of subsequent vasopressor administration than those with a more gradual decline into hypotension. Overall, our results suggest that a significant subset of patients, especially those with stable but low SBP, should have received vasopressors when they did not, or should have received them sooner. Dynamic trajectories appear to be important factors in clinical practice of hemodynamic management of sepsis.",2019,,Conference proceedings : ... Annual International Conference of the IEEE Engineering in Medicine and Biology Society. IEEE Engineering in Medicine and Biology Society. Annual Conference,2019,,494-497,,http://dx.doi.org/10.1109/EMBC.2019.8857191,,#3213,Prasad 2019,Matthieu Komorowski (2022-02-14 22:31:16)(Select): not about vasopressors; ,""
Predicting Volume Responsiveness Among Sepsis Patients Using Clinical Data and Continuous Physiological Waveforms,"Kamaleswaran, Rishikesan; Lian, Jiaoying; Lin, Dong-Lien; Molakapuri, Himasagar; Nunna, SriManikanth; Shah, Parth; Padman, Rema; Dua, Shiv","The efficacy of early fluid treatment in patients with sepsis is unclear and may contribute to serious adverse events due to fluid non-responsiveness. The current method of deciding if patients are responsive to fluid administration is often subjective and requires manual intervention. This study utilizes MIMIC III and associated matched waveform datasets across the entire ICU stay duration of each patient to develop prediction models for assessing fluid responsiveness in sepsis patients. We developed a pipeline to extract high frequency continuous waveform data and included waveform features in the prediction models. Comparing across five machine learning models, random forest performed the best when no waveform information is added (AUC = 0.84), with mean arterial blood pressure and age identified as key factors. After incorporation of features from physiologic waveforms, logistic regression with L1 penalty provided consistent performance and high interpretability, achieving an accuracy of 0.89 and F1 score of 0.90.Copyright ©2020 AMIA - All rights reserved.",2020,,AMIA ... Annual Symposium proceedings. AMIA Symposium,2020,,619-628,,,,#3488,Kamaleswaran 2020,"",""
Spectral clustering of risk score trajectories stratifies sepsis patients by clinical outcome and interventions received,"Greenstein, Joseph L.; Liu, Ran; Winslow, Raimond L.; Fackler, James C.; Bembea, Melania M.","Sepsis is not a monolithic disease, but a loose collection of symptoms with diverse outcomes. Thus, stratification and subtyping of sepsis patients is of great importance. We examine the temporal evolution of patient state using our previously-published method for computing risk of transition from sepsis into septic shock. Risk trajectories diverge into four clusters following early prediction of septic shock, stratifying by outcome: the highest-risk and lowest-risk groups have a 76.5% and 10.4% prevalence of septic shock, and 43% and 18% mortality, respectively. These clusters differ also in treatments received and median time to shock onset. Analyses reveal the existence of a rapid (30-60 min) transition in risk at the time of threshold crossing. We hypothesize that this transition occurs as a result of the failure of compensatory biological systems to cope with infection, resulting in a bifurcation of low to high risk. Such a collapse, we believe, represents the true onset of septic shock. Thus, this rapid elevation in risk represents a potential new data-driven definition of septic shock.Copyright © Liu et al.",2020,,Elife,9,,1-17,,http://dx.doi.org/10.7554/ELIFE.58142,,#3442,Greenstein 2020,Zuzanna Bien (2022-02-08 01:27:42)(Select): sepsis shock prediction based on cluster membership - ?think it can be included; ,""
Early diagnosis and prediction of sepsis shock by combining static and dynamic information using convolutional-LSTM,"Lin, C.; Zhangy, Y.; Ivy, J.; Capan, M.; Arnold, R.; Huddleston, J. M.; Chi, M.","Deep neural network models, especially Long Short Term Memory (LSTM), have shown great success in analyzing Electronic Health Records (EHRs) due to their ability to capture temporal dependencies in time series data. In this paper, we proposed a general deep neural network framework which incorporates two additional components with the aim of improving LSTM. The first component, a Convolutional Neural Network (CNN), is added before LSTM to obtain local characteristics of EHRs. The second component, a fully connected neural network (FC), introduces static information (e.g., age) to LSTM, which is applied to handle dynamic information (e.g., lab result). The medical condition we aim to predict is septic shock - it is the most advanced complication of sepsis and is due to severe abnormalities in circulation and/or cellular metabolism. Our proposed framework was evaluated for two experimental tasks: visit level early diagnosis (left align) and event level early prediction (right align). Our results show that for visit level early diagnosis, by incorporating both CNN and static information, our framework consistently outperforms the original LSTM. For event level early prediction, the same outcome is observed when predicting < 5 hours into the future, however, when predicting ≥ 5 hours into the future, the addition of the CNN component alone obtains the best results. © 2018 IEEE.",2018,,"6th IEEE International Conference on Healthcare Informatics, ICHI 2018",,,219-228,,10.1109/ICHI.2018.00032,,#5629,Lin 2018,Zuzanna Bien (2022-02-14 21:02:47)(Select): both visit-level and early prediction (2-24h) ; ,""
