,Study ID,Title,Reviewer Name,Title.1,Year of publication,Funding source,Supervised learning,Unsupervised learning,Reinforcement learning,Biological / physiological model,Algorithms used,MIMIC (any version),eICU Collaborative Research Database,Private dataset / datasets,Other public dataset,Name/names of other public dataset/datasets,Number of hospitals is specified,Total number of hospitals,Number of patient episodes is specified,Total number of patient episodes,Non-temporal,"Temporal, non-waveform","Temporal, waveform",Sepsis definition is specified,Defined using Sepsis-3,Defined using 'Infection + SIRS' ,Defined using clinical codes,Defined using other criteria,Septic shock definition is specified,Definition requires vasopressors / inotropes,Definition requires initial fluid resuscitation,Definition requires high lactate,Internal validation,External retrospective validation (other hospitals),External retrospective validation (separate dataset),Prospective observational validation,Non-randomised interventional validation (clinical trial),Randomised interventional validation (clinical trial),Regulatory approval,Post-deployment surveillance
0,Yu 2019,Deep Inverse Reinforcement Learning for Sepsis Treatment,Consensus,Deep Inverse Reinforcement Learning for Sepsis Treatment,2019,Unclear or not reported,True,False,True,False,Deep inverse RL with mini tree,True,False,False,False,,True,1,False,0,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
3,Jeter 2021,Learning to Treat Hypotensive Episodes in Sepsis Patients Using a Counterfactual Reasoning Framework,Consensus,Learning to Treat Hypotensive Episodes in Sepsis Patients Using a Counterfactual Reasoning Framework,2021,Academic,True,False,True,False,Switching generalised linear model; policy gradients; feedforward neural network; causal inference (logistic regression; softmax classifier),True,False,False,False,,True,1,True,5366,True,True,False,True,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
4,Zhu 2021,A self-supervised method for treatment recommendation in sepsis,Consensus,A self-supervised method for treatment recommendation in sepsis,2021,Academic,True,False,True,False,"dueling net, variational autoencoder, high-risk uncertainty reinforcement learning",True,False,False,False,,True,1,True,15415,True,True,False,True,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
25,Speth 2021,Restricted sub-tree learning to estimate an optimal dynamic treatment regime using observational data,Consensus,Restricted sub-tree learning to estimate an optimal dynamic treatment regime using observational data,2021,Academic,True,False,True,False,"Restricted sub-tree learning (ReST-L), a flexible and robust, sub-tree-based method to estimate an optimal multi-stage multi-treatment DTR",True,False,False,False,,False,,True,708,True,True,False,True,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False
27,Ma 2021,Individualized resuscitation strategy for septic shock formalized by finite mixture modeling and dynamic treatment regimen,Consensus,Individualized resuscitation strategy for septic shock formalized by finite mixture modeling and dynamic treatment regimen,2021,Academic,True,True,True,False,"Finite mixture modelling, K-means, dynamic treatment regime",False,True,True,False,,False,0,True,7293,True,True,False,True,True,False,False,False,True,True,True,True,False,False,True,False,False,False,False,False
29,Jia 2021,Safety-driven design of machine learning for sepsis treatment,Consensus,Safety-driven design of machine learning for sepsis treatment,2021,Academic,False,False,True,False,Dueling double-deep Q network,True,False,False,False,,True,1,True,25292,True,True,False,True,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
32,Ahrendt 2021,Transatlantic transferability of a new reinforcement learning model for optimizing haemodynamic treatment for critically ill patients with sepsis,Consensus,Transatlantic transferability of a new reinforcement learning model for optimizing haemodynamic treatment for critically ill patients with sepsis,2020,Unclear or not reported,False,False,True,False,Dueling Double-Deep Q Network,True,False,False,True,AmsterdamUMCdb,True,2,True,11382,True,True,False,True,True,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False
33,Zhang 2020,Individualized fluid administration for critically ill patients with sepsis with an interpretable dynamic treatment regimen model,Consensus,Individualized fluid administration for critically ill patients with sepsis with an interpretable dynamic treatment regimen model,2020,Academic,True,False,True,False,"Dynamic treatment regimen: ""The DTR model used a backward induction algorithm to estimate the sequence of optimal rules.""",False,True,False,False,,True,from 335 units at 208 hospitals,True,22868,True,True,False,True,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False
45,Peng 2018,Improving Sepsis Treatment Strategies by Combining Deep and Kernel-Based Reinforcement Learning,Consensus,Improving Sepsis Treatment Strategies by Combining Deep and Kernel-Based Reinforcement Learning,2018,Academic,False,False,True,False,Mixture-of-experts (MoE) model to combine the restricted Deep RL approach with a kernel RL approach,True,False,False,False,,False,,True,15415,True,True,False,True,True,False,False,,False,False,False,False,True,False,False,False,False,False,False,False
47,Gordon 2018,The Artificial Intelligence Clinician learns optimal treatment strategies for sepsis in intensive care,Consensus,The Artificial Intelligence Clinician learns optimal treatment strategies for sepsis in intensive care,2018,Academic,False,True,True,False,k-means; Q-learning,True,True,False,False,,True,1,True,96156,True,True,False,True,True,False,False,,False,,,,True,False,True,False,False,False,False,False
56,Satija 2021,Multi-Objective SPIBB: Seldonian Offline Policy Improvement with Safety Constraints in Finite MDPs,Consensus,Multi-Objective SPIBB: Seldonian Offline Policy Improvement with Safety Constraints in Finite MDPs,2021,Mixed,False,False,True,False," safe policy iteration with baseline bootstrapping, reinforcement learning",True,False,False,False,,False,,True,20954,True,True,False,True,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
57,Nanayakkara 2021,Unifying Cardiovascular Modelling with Deep Reinforcement Learning for Uncertainty Aware Control of Sepsis Treatment,Consensus,Unifying Cardiovascular Modelling with Deep Reinforcement Learning for Uncertainty Aware Control of Sepsis Treatment,2021,Unclear or not reported,True,False,True,True,Autoencoder; FCNN; GRU; physiological circuit model; Imitation learning; DQN,True,False,False,False,,True,1,False,,True,True,False,True,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
58,Liu 2021,Offline reinforcement learning with uncertainty for treatment strategies in sepsis,Consensus,Offline reinforcement learning with uncertainty for treatment strategies in sepsis,2021,Academic,False,True,True,False,k-means; Canonical correlation analysis; Q-learning; bootstraping,True,False,False,False,,True,1,True,21189 ,True,True,False,True,True,False,False,False,True,True,True,True,False,False,False,False,False,False,False,False
59,Kim 2021,Time-Aware Q-Networks: Resolving Temporal Irregularity for Deep Reinforcement Learning,Consensus,Time-Aware Q-Networks: Resolving Temporal Irregularity for Deep Reinforcement Learning,2021,Academic,False,False,True,False,Time-aware Q-Networks,False,False,True,False,,True,1,True,4410,True,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
60,Ausin 2021,InferNet for Delayed Reinforcement Tasks: Addressing the Temporal Credit Assignment Problem,Consensus,InferNet for Delayed Reinforcement Tasks: Addressing the Temporal Credit Assignment Problem,2021,Academic,True,False,True,False,"Feedforward neural network, dueling deep Q network, Gaussian process",False,False,True,False,,False,0,True,5928,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
